Left Min,Right Min,Left Max,Right Max,Left Mean,Right Mean
105,106,111,111,107.333333333,108.416666667
104,105,111,111,107.083333333,107.291666667
104,104,111,110,107.583333333,106.958333333
105,107,110,110,106.75,108.125
104,105,111,111,106.833333333,107.541666667
103,105,112,111,107,108.208333333
104,106,110,110,106.541666667,107.833333333
104,105,110,110,106.708333333,107.75
105,106,112,110,107.5,108.333333333
102,107,108,110,105.833333333,108.166666667
106,105,111,109,107.375,106.666666667
104,106,110,111,106.916666667,108.041666667
104,107,110,110,106.583333333,108.208333333
104,104,110,111,106.875,107.416666667
104,106,111,111,106.666666667,107.25
104,105,108,110,106.166666667,107.375
104,104,111,109,106.791666667,106.958333333
104,105,111,110,106.333333333,107.458333333
103,105,111,110,106.541666667,107.333333333
103,105,111,109,105.666666667,107.291666667
105,105,109,112,107.208333333,108.166666667
103,106,109,111,105.875,107.5
103,105,111,109,107.208333333,106.5
104,106,110,111,106.958333333,108.083333333
104,106,111,110,106.791666667,107.458333333
102,104,109,109,105.916666667,106.875
105,106,111,109,107.666666667,107.708333333
104,105,110,109,106.5,107.541666667
102,105,112,110,106.208333333,107.5
103,106,111,110,106.375,107.75
104,104,110,112,106.083333333,107.416666667
103,104,109,108,106,106.583333333
104,105,111,110,106.833333333,107.958333333
103,106,109,110,105.875,107.375
104,104,111,108,107,106.833333333
104,106,110,110,107.166666667,108
103,106,110,110,106.375,107.875
104,105,109,109,105.958333333,107.375
105,105,110,110,107.125,107.75
104,105,111,110,106.166666667,107.708333333
103,105,111,109,107,107.125
104,106,109,110,106.083333333,107.958333333
102,104,109,110,106.083333333,107.333333333
105,106,110,110,106.708333333,107.5
104,105,111,111,107.333333333,108.541666667
102,106,110,111,105.958333333,108.125
104,104,110,110,107.291666667,107.5
105,105,112,112,107.708333333,108.041666667
105,105,111,111,106.583333333,108
103,104,111,109,106.791666667,107.375
104,106,109,111,106.458333333,107.75
103,105,108,109,105.916666667,107.333333333
104,105,109,110,106.5,107.666666667
104,105,109,110,106.291666667,107.583333333
105,105,111,110,107.208333333,107.958333333
104,104,110,110,105.916666667,107.625
104,105,110,111,106.583333333,107.458333333
103,105,108,110,105.583333333,107.916666667
104,105,109,110,105.958333333,107.333333333
104,106,109,111,106.958333333,108.291666667
103,106,111,111,106.916666667,108.541666667
103,105,109,113,105.916666667,108.291666667
104,107,109,118,106.75,110.916666667
104,107,110,121,107.291666667,113.666666667
103,109,111,124,106.958333333,115.375
104,110,108,123,106.375,116.416666667
104,112,112,124,107.541666667,118.291666667
104,113,111,125,107.375,118.458333333
105,111,111,124,107.791666667,118.166666667
103,112,111,124,107.583333333,118.5
106,109,115,123,109.625,115.125
107,108,120,122,112.333333333,113.541666667
110,109,126,115,117,111.583333333
111,107,125,111,118.625,109.291666667
115,107,126,111,120.875,109.416666667
110,107,124,115,117.25,109.416666667
106,106,116,117,109.333333333,109.166666667
105,107,112,118,107.833333333,110.375
105,107,111,124,108,115.208333333
106,108,112,125,108.708333333,116.208333333
105,109,111,124,107.875,118.291666667
104,112,110,125,107.125,118.833333333
106,113,111,124,107.958333333,117.833333333
106,110,112,124,108.666666667,117.166666667
104,109,115,123,108.583333333,115.625
105,108,117,121,108.25,112.541666667
105,107,120,115,110.375,111.083333333
106,107,127,113,113.166666667,109.958333333
108,107,126,112,115.041666667,110.291666667
107,106,123,111,114.708333333,108.125
107,107,125,112,117.25,109
113,107,122,111,117.458333333,109.5
110,107,121,112,116.833333333,109
107,106,124,110,114.708333333,108.541666667
106,107,120,112,113.291666667,109.083333333
104,105,120,111,110.833333333,108.458333333
106,106,121,112,111.25,108.375
104,106,119,112,109.791666667,108.208333333
105,107,118,110,109.708333333,108.041666667
106,106,118,112,109.875,108.333333333
105,106,116,111,108.875,108.666666667
104,104,113,110,107.333333333,107.125
106,105,115,111,108.375,108.458333333
104,106,115,110,107.458333333,108.625
104,106,112,111,107.75,108.125
105,107,115,110,107.916666667,108.125
105,107,113,111,107.833333333,108.625
105,106,115,110,108.916666667,108.166666667
107,106,116,111,109.666666667,108.75
105,106,116,111,109.25,108.5
106,106,117,111,110.375,108.208333333
105,107,117,111,110.083333333,109.291666667
105,107,117,111,109.208333333,108.666666667
105,105,115,109,109.625,107.708333333
106,107,116,111,109.5,109.166666667
105,106,116,111,108.75,108.375
105,105,114,110,108.458333333,107.916666667
105,106,115,109,109,107.958333333
105,104,113,110,108.083333333,108
105,106,113,110,108.041666667,108.375
105,107,114,111,108.208333333,108.916666667
105,106,113,111,107.833333333,108.416666667
104,106,113,111,108.333333333,108.166666667
105,106,111,111,107.958333333,108.458333333
105,107,110,111,106.708333333,108.625
105,106,111,109,107.708333333,107.458333333
105,107,112,111,108,108.625
104,106,109,110,106.916666667,107.875
105,106,109,110,106.583333333,107.666666667
104,105,110,110,107.458333333,107.75
104,105,110,111,107,107.75
102,105,112,110,106.708333333,107.458333333
104,106,110,111,106.833333333,108.583333333
105,106,111,111,107.5,108.333333333
104,105,110,111,106.75,107.416666667
105,106,110,111,107.375,108.375
102,106,110,110,106.333333333,108.25
105,105,111,111,107.125,107.666666667
104,106,110,109,107.333333333,107.791666667
105,106,111,110,107.458333333,108.333333333
104,107,108,111,106.208333333,108.125
105,105,111,110,107.75,107.75
104,107,110,111,107.416666667,108.333333333
104,105,109,110,106.583333333,107.833333333
104,107,110,110,106.666666667,107.958333333
105,106,109,109,107.125,107.958333333
105,106,110,109,106.625,107.666666667
104,106,111,111,107.041666667,107.958333333
104,106,111,110,106.583333333,108.416666667
105,105,111,110,107.083333333,107.875
105,106,112,110,107.208333333,108.041666667
103,106,108,110,105.583333333,107.958333333
103,105,111,110,105.833333333,107.041666667
103,106,110,110,106.583333333,108.041666667
104,105,108,112,106.208333333,107.708333333
102,106,109,109,105.583333333,107.208333333
104,105,109,109,106.166666667,106.916666667
104,106,109,111,106.291666667,107.791666667
104,104,108,110,105.625,107.083333333
104,106,110,109,107.25,107.041666667
103,104,109,110,106,107.208333333
104,103,109,108,105.791666667,106.666666667
104,106,110,111,107.041666667,107.833333333
103,106,108,111,105.375,108.166666667
103,105,110,110,106.291666667,107.041666667
103,104,109,111,106.5,107.625
103,105,111,111,106.291666667,108.041666667
103,105,108,109,105.625,107.416666667
103,104,109,110,106.125,107.583333333
104,106,111,112,106.416666667,107.666666667
104,105,110,111,106.583333333,106.541666667
104,105,108,111,106.333333333,107.333333333
104,105,109,110,105.916666667,107.625
104,105,108,109,105.708333333,107.208333333
104,105,110,110,106.583333333,107.625
102,104,108,110,105.291666667,107.5
103,105,110,109,106.25,107.083333333
104,106,111,111,106.208333333,107.458333333
104,105,110,110,106.083333333,107.875
103,105,108,110,105.5,107.25
104,106,110,111,106.833333333,107.875
104,105,109,110,105.791666667,107.416666667
103,105,111,109,106.5,106.75
103,105,109,109,106.416666667,107.208333333
104,106,110,109,105.791666667,107.375
104,104,111,109,105.916666667,107
105,104,110,109,106.833333333,107.208333333
103,105,107,111,104.958333333,107.5
103,105,109,109,106.083333333,107.25
104,104,111,111,106.833333333,107.75
104,106,109,109,106.083333333,107.5
104,105,109,109,106,107.25
105,106,113,110,107.208333333,107.875
103,105,108,110,106,107.083333333
104,104,111,109,107,107.125
104,105,112,110,106.875,107.666666667
104,106,110,110,106,107.666666667
104,104,110,111,106.791666667,107.208333333
104,106,110,111,106.666666667,108.125
103,103,108,110,105.333333333,107
104,104,110,109,106.416666667,107.208333333
103,106,110,111,106.458333333,108.083333333
104,105,108,109,106.333333333,107.375
103,105,108,109,106,107.25
105,105,109,110,106.958333333,108.166666667
102,105,115,109,106.375,107.416666667
105,105,123,110,110.458333333,107.166666667
106,107,120,112,110.708333333,108.833333333
